name,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
"Davis, Miss. Bertha",1,1,female,35.0,0,0,135.6333,S,First,woman,False,C,Southampton,yes,True
"Smith, Mr. Thomas",0,1,male,,0,0,31.0,S,First,man,True,,Southampton,no,True
"Gordon, Mr. William",1,3,male,25.0,0,0,0.0,S,Third,man,True,,Southampton,yes,True
"Quinn, Mrs. Sarah",1,2,female,41.0,0,1,19.5,S,Second,woman,False,,Southampton,yes,False
"Nelson, Mr. Samuel",0,1,male,37.0,0,1,29.7,C,First,man,True,C,Cherbourg,no,False
"Quinn, Miss. Elizabeth",1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True
"Young, Miss. Bertha",1,1,female,63.0,1,0,77.9583,S,First,woman,False,D,Southampton,yes,False
"Allen, Miss. Emily",0,3,female,45.0,0,0,7.75,S,Third,woman,False,,Southampton,no,True
"Taylor, Mr. James",0,2,male,,0,0,0.0,S,Second,man,True,,Southampton,no,True
"Smith, Master. Arthur",0,3,male,7.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False
"Phillips, Mrs. Elizabeth",1,3,female,35.0,1,1,20.25,S,Third,woman,False,,Southampton,yes,False
"Carter, Mr. Robert",0,3,male,65.0,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
"Stewart, Mr. Frank",0,3,male,28.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True
"Thompson, Mr. Thomas",0,3,male,16.0,0,0,9.5,S,Third,man,True,,Southampton,no,True
"Nelson, Mr. Edward",1,3,male,19.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True
"Kelly, Mr. Robert",0,1,male,,0,0,26.0,S,First,man,True,A,Southampton,no,True
"Brown, Mr. Harold",0,3,male,33.0,0,0,8.6625,C,Third,man,True,,Cherbourg,no,True
"Lewis, Mr. Patrick",1,3,male,30.0,0,0,9.5,S,Third,man,True,,Southampton,yes,True
"Young, Mr. Joseph",0,3,male,22.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
"Allen, Mr. Robert",1,2,male,42.0,0,0,13.0,S,Second,man,True,,Southampton,yes,True
"Nelson, Miss. Alice",1,3,female,22.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True
"Kelly, Miss. Hannah",1,1,female,26.0,0,0,78.85,S,First,woman,False,,Southampton,yes,True
"Nelson, Miss. Anna",1,1,female,19.0,1,0,91.0792,C,First,woman,False,B,Cherbourg,yes,False
"Kelly, Mr. Harold",0,2,male,36.0,0,0,12.875,C,Second,man,True,D,Cherbourg,no,True
"Davies, Miss. Ruth",0,3,female,24.0,0,0,8.85,S,Third,woman,False,,Southampton,no,True
"White, Mr. Henry",0,3,male,24.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
"Smith, Mr. Patrick",0,1,male,,0,0,27.7208,C,First,man,True,,Cherbourg,no,True
"Stewart, Mr. George",0,3,male,23.5,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True
"Davies, Miss. Mary",0,1,female,2.0,1,2,151.55,S,First,child,False,C,Southampton,no,False
"Kelly, Mr. Walter",1,1,male,,0,0,30.5,S,First,man,True,C,Southampton,yes,True
"White, Mrs. Bertha",1,1,female,50.0,0,1,247.5208,C,First,woman,False,B,Cherbourg,yes,False
"Phillips, Miss. Anna",1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True
"Taylor, Mr. John",1,3,male,,2,0,23.25,Q,Third,man,True,,Queenstown,yes,False
"Andrews, Mr. Charles",0,3,male,19.0,0,0,0.0,S,Third,man,True,,Southampton,no,True
"Wilson, Miss. Bridget",1,2,female,,0,0,12.35,Q,Second,woman,False,E,Queenstown,yes,True
"Harris, Mr. William",0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
"Gordon, Master. Edward",1,1,male,0.92,1,2,151.55,S,First,child,False,C,Southampton,yes,False
"Smith, Miss. Anna",1,1,female,,0,0,110.8833,C,First,woman,False,,Cherbourg,yes,True
"Taylor, Miss. Anna",1,1,female,17.0,1,0,108.9,C,First,woman,False,C,Cherbourg,yes,False
"Young, Mr. James",0,2,male,30.0,1,0,24.0,C,Second,man,True,,Cherbourg,no,False
"Brown, Miss. Ruth",1,1,female,30.0,0,0,56.9292,C,First,woman,False,E,Cherbourg,yes,True
"Walsh, Miss. Bridget",1,1,female,24.0,0,0,83.1583,C,First,woman,False,C,Cherbourg,yes,True
"Bird, Mrs. Mary",1,1,female,18.0,2,2,262.375,C,First,woman,False,B,Cherbourg,yes,False
"Smith, Mrs. Alice",0,2,female,26.0,1,1,26.0,S,Second,woman,False,,Southampton,no,False
"Fitzgerald, Mr. Samuel",0,3,male,28.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
"Fitzgerald, Mr. Arthur",0,2,male,43.0,1,1,26.25,S,Second,man,True,,Southampton,no,False
"Gordon, Miss. Margaret",1,3,female,26.0,0,0,7.8542,S,Third,woman,False,,Southampton,yes,True
"Clark, Miss. Emily",1,2,female,24.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False
"Young, Mr. Samuel",0,2,male,54.0,0,0,14.0,S,Second,man,True,,Southampton,no,True
"Andrews, Mrs. Emily",1,1,female,31.0,0,2,164.8667,S,First,woman,False,C,Southampton,yes,False
"Brown, Mrs. Anna",1,1,female,40.0,1,1,134.5,C,First,woman,False,E,Cherbourg,yes,False
"Lewis, Mr. James",0,3,male,22.0,0,0,7.25,S,Third,man,True,,Southampton,no,True
"Stewart, Mr. Samuel",0,3,male,27.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
"Smith, Miss. Edith",1,2,female,30.0,0,0,12.35,Q,Second,woman,False,,Queenstown,yes,True
"McCarthy, Mrs. Catherine",1,2,female,22.0,1,1,29.0,S,Second,woman,False,,Southampton,yes,False
"Thompson, Mr. Charles",0,3,male,,8,2,69.55,S,Third,man,True,,Southampton,no,False
"Young, Miss. Edith",1,1,female,36.0,0,0,135.6333,C,First,woman,False,C,Cherbourg,yes,True
"Thompson, Mr. Walter",0,3,male,61.0,0,0,6.2375,S,Third,man,True,,Southampton,no,True
"Andrews, Miss. Anna",1,2,female,36.0,0,0,13.0,S,Second,woman,False,D,Southampton,yes,True
"Stewart, Mrs. Elizabeth",1,3,female,31.0,1,1,20.525,S,Third,woman,False,,Southampton,yes,False
"Gordon, Mrs. Elizabeth",1,1,female,16.0,0,1,57.9792,C,First,woman,False,B,Cherbourg,yes,False
"Clark, Miss. Mary",1,3,female,,2,0,23.25,Q,Third,woman,False,,Queenstown,yes,False
"Stewart, Mr. Robert",0,1,male,45.5,0,0,28.5,S,First,man,True,C,Southampton,no,True
"Nelson, Mr. Thomas",0,1,male,38.0,0,1,153.4625,S,First,man,True,C,Southampton,no,False
"Kelly, Mr. Walter",0,3,male,16.0,2,0,18.0,S,Third,man,True,,Southampton,no,False
"Allen, Miss. Elizabeth",1,1,female,,1,0,133.65,S,First,woman,False,,Southampton,yes,False
"Davies, Mr. Walter",0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
"Andrews, Mr. Walter",0,1,male,29.0,1,0,66.6,S,First,man,True,C,Southampton,no,False
"Bird, Miss. Elizabeth",1,1,female,41.0,0,0,134.5,C,First,woman,False,E,Cherbourg,yes,True
"Nelson, Mr. Thomas",1,3,male,45.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True
"Walsh, Mr. Edward",0,1,male,45.0,0,0,35.5,S,First,man,True,,Southampton,no,True
"Bird, Master. Robert",1,2,male,2.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False
"Roberts, Mrs. Helen",1,1,female,24.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False
"Roberts, Mr. Joseph",0,2,male,28.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
"Phillips, Mr. James",0,2,male,25.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
"Taylor, Mr. John",0,2,male,36.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
"McCarthy, Miss. Mary",1,2,female,24.0,0,0,13.0,S,Second,woman,False,F,Southampton,yes,True
"Stewart, Miss. Sarah",1,2,female,40.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True
"Phillips, Miss. Mary",1,3,female,,1,0,16.1,S,Third,woman,False,,Southampton,yes,False
"Roberts, Master. Thomas",1,3,male,3.0,1,1,15.9,S,Third,child,False,,Southampton,yes,False
"Clark, Mr. Edward",0,3,male,42.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True
"Wilson, Mr. Harold",0,3,male,23.0,0,0,9.225,S,Third,man,True,,Southampton,no,True
"Allen, Mr. James",0,1,male,,0,0,35.0,S,First,man,True,C,Southampton,no,True
"Allen, Master. Frank",0,3,male,15.0,1,1,7.2292,C,Third,child,False,,Cherbourg,no,False
"Clark, Mr. Samuel",0,3,male,25.0,1,0,17.8,S,Third,man,True,,Southampton,no,False
"Brown, Mr. Walter",0,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True
"Allen, Mr. Samuel",0,3,male,28.0,0,0,9.5,S,Third,man,True,,Southampton,no,True
"Young, Mrs. Florence",1,1,female,22.0,0,1,55.0,S,First,woman,False,E,Southampton,yes,False
"Fitzgerald, Miss. Edith",0,2,female,38.0,0,0,13.0,S,Second,woman,False,,Southampton,no,True
"Gordon, Miss. Edith",1,3,female,,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True
"Bird, Miss. Catherine",1,3,female,,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True
"Smith, Mr. Arthur",0,3,male,40.0,1,4,27.9,S,Third,man,True,,Southampton,no,False
"Clark, Mr. Thomas",0,2,male,29.0,1,0,27.7208,C,Second,man,True,,Cherbourg,no,False
"Wilson, Mrs. Catherine",0,3,female,45.0,0,1,14.4542,C,Third,woman,False,,Cherbourg,no,False
"Lewis, Mr. Harold",0,3,male,35.0,0,0,7.05,S,Third,man,True,,Southampton,no,True
"Martin, Mr. Henry",0,3,male,,1,0,15.5,Q,Third,man,True,,Queenstown,no,False
"Quinn, Mr. Charles",0,3,male,30.0,0,0,7.25,S,Third,man,True,,Southampton,no,True
"Young, Miss. Edith",1,1,female,60.0,1,0,75.25,C,First,woman,False,D,Cherbourg,yes,False
"Martin, Miss. Bridget",1,3,female,,0,0,7.2292,C,Third,woman,False,,Cherbourg,yes,True
"Clark, Miss. Helen",1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True
"Martin, Miss. Hannah",1,1,female,24.0,0,0,69.3,C,First,woman,False,B,Cherbourg,yes,True
"Fitzgerald, Mr. William",1,1,male,25.0,1,0,55.4417,C,First,man,True,E,Cherbourg,yes,False
"Lewis, Mr. William",0,3,male,18.0,1,0,6.4958,S,Third,man,True,,Southampton,no,False
"White, Mr. Patrick",0,3,male,19.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
"Martin, Mr. Robert",0,1,male,22.0,0,0,135.6333,C,First,man,True,,Cherbourg,no,True
"Evans, Miss. Alice",0,3,female,3.0,3,1,21.075,S,Third,child,False,,Southampton,no,False
"Andrews, Miss. Florence",1,1,female,,1,0,82.1708,C,First,woman,False,,Cherbourg,yes,False
"Davis, Miss. Bridget",1,3,female,22.0,0,0,7.25,S,Third,woman,False,,Southampton,yes,True
"Nelson, Mr. Henry",0,1,male,27.0,0,2,211.5,C,First,man,True,C,Cherbourg,no,False
"Stewart, Mr. Henry",0,3,male,20.0,0,0,4.0125,C,Third,man,True,,Cherbourg,no,True
"O'Brien, Mr. Edward",0,3,male,19.0,0,0,7.775,S,Third,man,True,,Southampton,no,True
"Harris, Miss. Bertha",1,1,female,42.0,0,0,227.525,C,First,woman,False,,Cherbourg,yes,True
"Gordon, Miss. Sarah",1,3,female,1.0,0,2,15.7417,C,Third,child,False,,Cherbourg,yes,False
"Stewart, Mr. Joseph",0,3,male,32.0,0,0,7.925,S,Third,man,True,,Southampton,no,True
"Young, Miss. Margaret",1,1,female,35.0,1,0,52.0,S,First,woman,False,,Southampton,yes,False
"Davies, Mr. Arthur",0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
"Lewis, Mr. Henry",0,2,male,18.0,0,0,73.5,S,Second,man,True,,Southampton,no,True
"Thompson, Master. Frank",0,3,male,1.0,5,2,46.9,S,Third,child,False,,Southampton,no,False
"Nelson, Miss. Florence",1,2,female,36.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True
"Quinn, Mr. Harold",0,3,male,,0,0,7.7292,Q,Third,man,True,,Queenstown,no,True
"Davies, Miss. Alice",1,2,female,17.0,0,0,12.0,C,Second,woman,False,,Cherbourg,yes,True
"Gordon, Mr. Thomas",1,1,male,36.0,1,2,120.0,S,First,man,True,B,Southampton,yes,False
"Harris, Mr. Walter",1,3,male,21.0,0,0,7.7958,S,Third,man,True,,Southampton,yes,True
"Davis, Mr. Joseph",0,3,male,28.0,2,0,7.925,S,Third,man,True,,Southampton,no,False
"Young, Miss. Florence",1,1,female,23.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False
"Roberts, Mrs. Catherine",1,3,female,24.0,0,2,16.7,S,Third,woman,False,G,Southampton,yes,False
"Stewart, Mr. Arthur",0,3,male,22.0,0,0,7.7958,S,Third,man,True,,Southampton,no,True
"O'Brien, Miss. Bridget",0,3,female,31.0,0,0,7.8542,S,Third,woman,False,,Southampton,no,True
"Young, Mr. Walter",0,2,male,46.0,0,0,26.0,S,Second,man,True,,Southampton,no,True
"Phillips, Mr. Frank",0,2,male,23.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
"Martin, Miss. Ruth",1,2,female,28.0,0,0,12.65,S,Second,woman,False,,Southampton,yes,True
"Davis, Mr. Patrick",1,3,male,39.0,0,0,7.925,S,Third,man,True,,Southampton,yes,True
"Kelly, Mr. John",0,3,male,26.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
"Carter, Miss. Catherine",0,3,female,21.0,1,0,9.825,S,Third,woman,False,,Southampton,no,False
"Quinn, Mr. Edward",0,3,male,28.0,1,0,15.85,S,Third,man,True,,Southampton,no,False
"Evans, Miss. Bridget",0,3,female,20.0,0,0,8.6625,S,Third,woman,False,,Southampton,no,True
"Stewart, Mr. Arthur",0,2,male,34.0,1,0,21.0,S,Second,man,True,,Southampton,no,False
"Roberts, Mr. Arthur",0,3,male,51.0,0,0,7.75,S,Third,man,True,,Southampton,no,True
"Davis, Master. Arthur",1,2,male,3.0,1,1,18.75,S,Second,child,False,,Southampton,yes,False
"Wilson, Mr. James",0,3,male,21.0,0,0,7.775,S,Third,man,True,,Southampton,no,True
"Jones, Mrs. Alice",0,3,female,,3,1,25.4667,S,Third,woman,False,,Southampton,no,False
"Martin, Mr. Samuel",0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
"Davis, Mr. Walter",0,3,male,,0,0,6.8583,Q,Third,man,True,,Queenstown,no,True
"Quinn, Miss. Bridget",1,1,female,33.0,1,0,90.0,Q,First,woman,False,C,Queenstown,yes,False
"Evans, Mr. Frank",0,2,male,,0,0,0.0,S,Second,man,True,,Southampton,no,True
"Bird, Mr. William",1,3,male,44.0,0,0,7.925,S,Third,man,True,,Southampton,yes,True
"Gordon, Miss. Elizabeth",0,3,female,,0,0,8.05,S,Third,woman,False,,Southampton,no,True
"Kelly, Mrs. Catherine",1,2,female,34.0,1,1,32.5,S,Second,woman,False,,Southampton,yes,False
"Roberts, Mrs. Sarah",1,2,female,18.0,0,2,13.0,S,Second,woman,False,,Southampton,yes,False
"Gordon, Mr. John",0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
"Quinn, Miss. Florence",0,3,female,10.0,0,2,24.15,S,Third,child,False,,Southampton,no,False
"Phillips, Mr. Thomas",0,3,male,,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True
"Young, Mr. Henry",0,3,male,21.0,0,0,7.7333,Q,Third,man,True,,Queenstown,no,True
"Harris, Mr. Patrick",0,3,male,29.0,0,0,7.875,S,Third,man,True,,Southampton,no,True
"Martin, Mrs. Florence",0,3,female,28.0,1,1,14.4,S,Third,woman,False,,Southampton,no,False
"Young, Mr. John",0,3,male,18.0,1,1,20.2125,S,Third,man,True,,Southampton,no,False
"Lewis, Mr. Arthur",0,3,male,,0,0,7.25,S,Third,man,True,,Southampton,no,True
"Harris, Miss. Emily",1,2,female,28.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False
"Allen, Miss. Sarah",1,2,female,19.0,0,0,26.0,S,Second,woman,False,,Southampton,yes,True
"Kelly, Mr. Joseph",0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
"Brown, Mr. Frank",1,3,male,32.0,0,0,8.05,S,Third,man,True,E,Southampton,yes,True
"Taylor, Mr. Patrick",1,1,male,28.0,0,0,26.55,S,First,man,True,C,Southampton,yes,True
"Taylor, Miss. Ruth",1,3,female,,1,0,16.1,S,Third,woman,False,,Southampton,yes,False
"Davies, Miss. Mary",1,2,female,42.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False
"Thompson, Mr. Frank",0,3,male,17.0,0,0,7.125,S,Third,man,True,,Southampton,no,True
"Phillips, Mr. James",0,1,male,50.0,1,0,55.9,S,First,man,True,E,Southampton,no,False
"Allen, Miss. Helen",1,1,female,14.0,1,2,120.0,S,First,child,False,B,Southampton,yes,False
"McCarthy, Mrs. Bertha",0,3,female,21.0,2,2,34.375,S,Third,woman,False,,Southampton,no,False
"Jones, Mrs. Catherine",1,2,female,24.0,2,3,18.75,S,Second,woman,False,,Southampton,yes,False
"Bird, Mr. Arthur",0,1,male,64.0,1,4,263.0,S,First,man,True,C,Southampton,no,False
"Stewart, Mr. Charles",0,2,male,31.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
"Walsh, Mrs. Margaret",1,2,female,45.0,1,1,26.25,S,Second,woman,False,,Southampton,yes,False
"Lewis, Mr. Edward",0,3,male,20.0,0,0,9.5,S,Third,man,True,,Southampton,no,True
"Allen, Mr. Walter",0,3,male,25.0,1,0,7.775,S,Third,man,True,,Southampton,no,False
"Thompson, Miss. Mary",1,2,female,28.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True
"Andrews, Mr. John",1,3,male,,0,0,8.1125,S,Third,man,True,,Southampton,yes,True
"Andrews, Master. Thomas",1,1,male,4.0,0,2,81.8583,S,First,child,False,A,Southampton,yes,False
"Allen, Miss. Margaret",1,2,female,13.0,0,1,19.5,S,Second,child,False,,Southampton,yes,False
"Brown, Mr. Walter",1,1,male,34.0,0,0,26.55,S,First,man,True,,Southampton,yes,True
"Davis, Miss. Bridget",1,3,female,5.0,2,1,19.2583,C,Third,child,False,,Cherbourg,yes,False
"Wilson, Mr. Walter",1,1,male,52.0,0,0,30.5,S,First,man,True,C,Southampton,yes,True
"Carter, Mr. Harold",0,2,male,36.0,1,2,27.75,S,Second,man,True,,Southampton,no,False
"Clark, Mr. Harold",0,3,male,,1,0,19.9667,S,Third,man,True,,Southampton,no,False
"Harris, Mr. John",0,1,male,30.0,0,0,27.75,C,First,man,True,C,Cherbourg,no,True
"Quinn, Mr. Samuel",1,1,male,49.0,1,0,89.1042,C,First,man,True,C,Cherbourg,yes,False
"Wilson, Mr. Samuel",0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
"Taylor, Mr. John",1,3,male,29.0,0,0,7.8958,C,Third,man,True,,Cherbourg,yes,True
"Wilson, Mr. Henry",0,1,male,65.0,0,0,26.55,S,First,man,True,E,Southampton,no,True
"Allen, Miss. Margaret",1,1,female,,1,0,51.8625,S,First,woman,False,D,Southampton,yes,False
"Clark, Miss. Florence",1,2,female,50.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True
"Quinn, Mr. Walter",0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
"Harris, Mr. George",1,1,male,48.0,0,0,26.55,S,First,man,True,E,Southampton,yes,True
"Brown, Mr. Robert",0,3,male,34.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
"Smith, Mr. George",0,1,male,47.0,0,0,38.5,S,First,man,True,E,Southampton,no,True
"McCarthy, Mr. John",0,2,male,48.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
"Wilson, Mr. Patrick",0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
"Martin, Mr. Robert",0,3,male,38.0,0,0,7.05,S,Third,man,True,,Southampton,no,True
"Harris, Mr. William",0,2,male,,0,0,0.0,S,Second,man,True,,Southampton,no,True
"Clark, Mr. Samuel",0,1,male,56.0,0,0,26.55,S,First,man,True,,Southampton,no,True
"Lewis, Mr. Charles",0,3,male,,0,0,7.725,Q,Third,man,True,,Queenstown,no,True
"Thompson, Miss. Ruth",1,3,female,0.75,2,1,19.2583,C,Third,child,False,,Cherbourg,yes,False
"McCarthy, Mr. William",0,3,male,,0,0,7.25,S,Third,man,True,,Southampton,no,True
"Taylor, Mr. James",0,3,male,38.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True
"Davis, Mrs. Elizabeth",1,2,female,33.0,1,2,27.75,S,Second,woman,False,,Southampton,yes,False
"Davies, Miss. Florence",1,2,female,23.0,0,0,13.7917,C,Second,woman,False,D,Cherbourg,yes,True
"Smith, Miss. Edith",0,3,female,22.0,0,0,9.8375,S,Third,woman,False,,Southampton,no,True
"Brown, Mr. Samuel",0,1,male,,0,0,52.0,S,First,man,True,A,Southampton,no,True
"Young, Mr. Frank",0,2,male,34.0,1,0,21.0,S,Second,man,True,,Southampton,no,False
"Allen, Mr. Edward",0,3,male,29.0,1,0,7.0458,S,Third,man,True,,Southampton,no,False
"Allen, Mr. Patrick",0,3,male,22.0,0,0,7.5208,S,Third,man,True,,Southampton,no,True
"Bird, Miss. Bertha",1,3,female,2.0,0,1,12.2875,S,Third,child,False,,Southampton,yes,False
"Smith, Master. James",0,3,male,9.0,5,2,46.9,S,Third,child,False,,Southampton,no,False
"Martin, Mr. Joseph",0,2,male,,0,0,0.0,S,Second,man,True,,Southampton,no,True
"Fitzgerald, Mr. John",0,3,male,50.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
"Stewart, Miss. Mary",1,3,female,63.0,0,0,9.5875,S,Third,woman,False,,Southampton,yes,True
"Fitzgerald, Mr. Henry",1,1,male,25.0,1,0,91.0792,C,First,man,True,B,Cherbourg,yes,False
"O'Brien, Mrs. Florence",0,3,female,,3,1,25.4667,S,Third,woman,False,,Southampton,no,False
"Bird, Miss. Alice",1,1,female,35.0,1,0,90.0,S,First,woman,False,C,Southampton,yes,False
"Thompson, Mr. Patrick",0,1,male,58.0,0,0,29.7,C,First,man,True,B,Cherbourg,no,True
"Evans, Mr. Robert",0,3,male,30.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
"Carter, Master. Henry",1,3,male,9.0,1,1,15.9,S,Third,child,False,,Southampton,yes,False
"White, Mr. George",0,3,male,,1,0,19.9667,S,Third,man,True,,Southampton,no,False
"Lewis, Mr. James",0,3,male,21.0,0,0,7.25,S,Third,man,True,,Southampton,no,True
"Kelly, Mr. James",0,1,male,55.0,0,0,30.5,S,First,man,True,C,Southampton,no,True
"Quinn, Mr. James",0,1,male,71.0,0,0,49.5042,C,First,man,True,,Cherbourg,no,True
"Kelly, Mr. Joseph",0,3,male,21.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
"Thompson, Mr. Arthur",0,3,male,,0,0,14.4583,C,Third,man,True,,Cherbourg,no,True
"Thompson, Miss. Bridget",1,1,female,54.0,1,0,78.2667,C,First,woman,False,D,Cherbourg,yes,False
"Kelly, Mr. James",0,3,male,,0,0,15.1,S,Third,man,True,,Southampton,no,True
"Gordon, Mrs. Mary",0,1,female,25.0,1,2,151.55,S,First,woman,False,C,Southampton,no,False
"Young, Mr. Patrick",0,3,male,24.0,0,0,7.7958,S,Third,man,True,,Southampton,no,True
"White, Mr. Edward",0,3,male,17.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True
"Young, Miss. Ruth",0,3,female,21.0,0,0,7.75,Q,Third,woman,False,,Queenstown,no,True
"Roberts, Miss. Florence",0,3,female,,0,0,7.6292,Q,Third,woman,False,,Queenstown,no,True
"Clark, Miss. Catherine",0,3,female,37.0,0,0,9.5875,S,Third,woman,False,,Southampton,no,True
"Evans, Miss. Catherine",1,1,female,16.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True
"Gordon, Mr. Walter",0,1,male,18.0,1,0,108.9,C,First,man,True,C,Cherbourg,no,False
"Stewart, Mrs. Emily",1,2,female,33.0,0,2,26.0,S,Second,woman,False,,Southampton,yes,False
"O'Brien, Mr. Charles",1,1,male,,0,0,26.55,S,First,man,True,,Southampton,yes,True
"Carter, Mr. Patrick",0,3,male,28.0,0,0,22.525,S,Third,man,True,,Southampton,no,True
"White, Mr. John",1,3,male,26.0,0,0,56.4958,S,Third,man,True,,Southampton,yes,True
"McCarthy, Mr. Harold",1,3,male,29.0,0,0,7.75,Q,Third,man,True,,Queenstown,yes,True
"Taylor, Mr. Henry",0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
"Andrews, Mr. William",1,1,male,36.0,0,0,26.2875,S,First,man,True,E,Southampton,yes,True
"Stewart, Miss. Emily",1,1,female,54.0,1,0,59.4,C,First,woman,False,,Cherbourg,yes,False
"Davies, Mr. Robert",0,3,male,24.0,0,0,7.4958,S,Third,man,True,,Southampton,no,True
"Gordon, Mr. James",0,1,male,47.0,0,0,34.0208,S,First,man,True,D,Southampton,no,True
"Lewis, Miss. Hannah",1,2,female,34.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True
"Brown, Mr. James",0,3,male,,0,0,24.15,Q,Third,man,True,,Queenstown,no,True
"Gordon, Miss. Helen",1,2,female,36.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False
"McCarthy, Mr. William",0,3,male,32.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
"Kelly, Miss. Sarah",1,1,female,30.0,0,0,93.5,S,First,woman,False,B,Southampton,yes,True
"Quinn, Mr. Patrick",0,3,male,22.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
"Stewart, Mr. Joseph",0,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True
"White, Mrs. Ruth",1,1,female,44.0,0,1,57.9792,C,First,woman,False,B,Cherbourg,yes,False
"White, Mr. Arthur",0,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True
"Harris, Mr. Henry",0,3,male,40.5,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
"Thompson, Miss. Bertha",1,2,female,50.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True
"White, Mr. Robert",0,1,male,,0,0,221.7792,S,First,man,True,C,Southampton,no,True
"Kelly, Mr. Henry",0,3,male,39.0,0,0,7.925,S,Third,man,True,,Southampton,no,True
"Gordon, Mr. William",0,2,male,23.0,2,1,11.5,S,Second,man,True,,Southampton,no,False
"Brown, Miss. Catherine",1,2,female,2.0,1,1,26.0,S,Second,child,False,,Southampton,yes,False
"Smith, Mr. Charles",0,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True
"Thompson, Mr. Frank",0,3,male,17.0,1,1,7.2292,C,Third,man,True,,Cherbourg,no,False
"Bird, Mrs. Bridget",1,3,female,,0,2,22.3583,C,Third,woman,False,,Cherbourg,yes,False
"Lewis, Miss. Mary",0,3,female,30.0,0,0,8.6625,S,Third,woman,False,,Southampton,no,True
"Carter, Miss. Alice",1,2,female,7.0,0,2,26.25,S,Second,child,False,,Southampton,yes,False
"Davis, Mr. Harold",0,1,male,45.0,0,0,26.55,S,First,man,True,B,Southampton,no,True
"Kelly, Miss. Catherine",1,1,female,30.0,0,0,106.425,C,First,woman,False,,Cherbourg,yes,True
